seed,item,m,U,E_netted,se_slope_netted,E_raw,depth_netted_last,net_max_over_min,raw_max_over_min,first_chunk,last_chunk
1,54,15,0,1.633268e-08,1.833299e-09,2.328572e-02,3.442669,1.000000461,1.858929,18,46
1,56,15,0,1.469023e-08,2.085047e-09,2.328572e-02,3.879528,1.000000456,1.858929,18,46
1,58,14,0,1.337445e-08,2.072534e-09,2.279122e-02,3.780881,1.000000392,1.750673,20,46
1,60,14,0,1.352396e-08,2.309856e-09,2.279122e-02,3.584655,1.000000415,1.750673,20,46
1,62,14,0,1.249340e-08,2.058472e-09,2.279122e-02,3.706021,1.000000344,1.750673,20,46
1,64,13,0,1.408131e-08,1.795501e-09,2.230771e-02,3.806372,1.000000354,1.682028,22,46
1,65,13,0,1.264324e-08,1.948983e-09,2.230771e-02,3.736768,1.000000298,1.682028,22,46
1,70,12,0,1.098093e-08,2.694141e-09,2.143358e-02,3.691078,1.000000279,1.521962,24,46
1,71,12,0,1.235134e-08,2.480211e-09,2.143358e-02,3.830368,1.000000306,1.521962,24,46
1,72,12,0,9.319181e-09,2.821190e-09,2.143358e-02,3.466975,1.000000292,1.521962,24,46
1,73,12,13,1.079342e-08,2.642333e-09,2.143358e-02,3.417865,1.000000281,1.521962,24,46
1,74,12,0,8.689058e-09,2.439585e-09,2.143358e-02,3.506074,1.000000274,1.521962,24,46
1,75,11,774,-1.019934e-09,5.888592e-10,9.090905e-04,3.199878,1.000000045,1.040811,26,46
1,76,11,0,1.265359e-08,3.123730e-09,2.154547e-02,3.666790,1.000000281,1.462285,26,46
1,82,10,0,1.147235e-08,3.407129e-09,2.163638e-02,3.417114,1.000000256,1.404948,28,46
1,83,10,0,1.428576e-08,3.782245e-09,2.163639e-02,3.894729,1.000000287,1.404948,28,46
1,92,9,34,1.622168e-08,4.198787e-09,2.166669e-02,3.743137,1.000000310,1.377128,30,46
1,96,8,0,2.032774e-08,4.665549e-09,2.047622e-02,3.638355,1.000000299,1.296931,32,46
1,97,8,0,2.370534e-08,4.014398e-09,2.047622e-02,3.645310,1.000000290,1.296931,32,46
1,98,8,0,2.247742e-08,3.097987e-09,2.047622e-02,3.677161,1.000000271,1.296931,32,46
